step 0: train loss 3.2792, val loss 3.6664
iter 0: loss 3.4648, time 17516.47ms
iter 1: loss 3.4964, time 241.43ms
iter 2: loss 3.6429, time 239.35ms
iter 3: loss 2.9237, time 239.13ms
iter 4: loss 3.3467, time 238.88ms
iter 5: loss 3.6782, time 239.25ms
iter 6: loss 3.4368, time 239.22ms
iter 7: loss 3.9167, time 239.47ms
iter 8: loss 3.4284, time 239.09ms
iter 9: loss 3.8155, time 239.66ms
iter 10: loss 3.1477, time 238.96ms
iter 11: loss 4.1076, time 239.68ms
iter 12: loss 3.1094, time 239.21ms
iter 13: loss 3.2041, time 239.43ms
iter 14: loss 3.3798, time 239.25ms
iter 15: loss 3.2501, time 239.07ms
iter 16: loss 4.1299, time 239.03ms
iter 17: loss 3.1942, time 239.14ms
iter 18: loss 4.0532, time 239.08ms
iter 19: loss 3.3442, time 239.12ms
iter 20: loss 4.0136, time 239.73ms
iter 21: loss 3.0484, time 239.32ms
iter 22: loss 3.1988, time 239.00ms
iter 23: loss 3.2990, time 239.46ms
iter 24: loss 3.5756, time 239.15ms
iter 25: loss 3.3063, time 239.11ms
iter 26: loss 3.1716, time 239.21ms
iter 27: loss 3.4243, time 239.14ms
iter 28: loss 3.0272, time 239.29ms
iter 29: loss 3.6647, time 239.45ms
iter 30: loss 3.1298, time 238.95ms
iter 31: loss 3.7496, time 239.39ms
iter 32: loss 2.9516, time 239.14ms
iter 33: loss 3.3747, time 239.16ms
iter 34: loss 3.0443, time 239.49ms
iter 35: loss 3.2208, time 238.88ms
iter 36: loss 3.6444, time 239.14ms
iter 37: loss 2.9914, time 239.12ms
iter 38: loss 3.5391, time 239.06ms
iter 39: loss 2.9342, time 238.85ms
iter 40: loss 3.4097, time 238.97ms
iter 41: loss 3.0277, time 239.49ms
iter 42: loss 2.9379, time 239.05ms
iter 43: loss 3.5459, time 239.13ms
iter 44: loss 3.6686, time 239.25ms
iter 45: loss 3.9673, time 238.82ms
iter 46: loss 3.3452, time 239.49ms
iter 47: loss 3.7403, time 239.04ms
iter 48: loss 3.8404, time 239.04ms
iter 49: loss 3.2936, time 239.06ms
iter 50: loss 3.2701, time 239.14ms
iter 51: loss 3.5395, time 239.07ms
iter 52: loss 3.6514, time 239.40ms
iter 53: loss 3.0925, time 239.06ms
iter 54: loss 3.0573, time 239.39ms
iter 55: loss 3.5381, time 239.21ms
iter 56: loss 3.4868, time 239.11ms
iter 57: loss 3.1292, time 239.29ms
iter 58: loss 3.0782, time 238.96ms
iter 59: loss 3.6985, time 239.17ms
iter 60: loss 3.3401, time 239.25ms
iter 61: loss 3.2405, time 238.96ms
iter 62: loss 2.9978, time 239.19ms
iter 63: loss 3.3354, time 239.11ms
iter 64: loss 3.5040, time 238.91ms
iter 65: loss 3.2438, time 239.02ms
iter 66: loss 3.4311, time 239.45ms
iter 67: loss 3.7790, time 239.66ms
iter 68: loss 3.7413, time 238.97ms
iter 69: loss 3.3696, time 239.17ms
iter 70: loss 2.9378, time 239.22ms
iter 71: loss 3.1584, time 239.16ms
iter 72: loss 3.5587, time 239.44ms
iter 73: loss 3.2764, time 239.38ms
iter 74: loss 3.5483, time 239.37ms
iter 75: loss 3.0577, time 239.34ms
iter 76: loss 3.0982, time 239.50ms
iter 77: loss 2.9290, time 239.65ms
iter 78: loss 3.1838, time 239.66ms
iter 79: loss 3.4719, time 239.52ms
iter 80: loss 3.1852, time 239.42ms
iter 81: loss 3.6119, time 239.19ms
iter 82: loss 3.5907, time 239.08ms
